,dc_p,s_ir,h_ir,m_t
0,4.2,81.0,-1.0,14.5
1,3.6,70.0,-1.0,14.7
2,3.4,69.0,-1.0,14.7
3,3.2,65.0,-1.0,14.7
4,3.1,62.0,-1.0,14.7
5,3.2,62.0,-1.0,14.6
6,3.6,66.0,-1.0,14.6
7,4.0,75.0,-1.0,14.5
8,2.7,55.0,-1.0,14.6
9,2.5,50.0,-1.0,14.5
10,2.6,50.0,-1.0,14.4
11,2.7,53.0,-1.0,14.3
12,2.6,52.0,-1.0,14.2
13,2.6,51.0,-1.0,14.1
14,2.5,50.0,-1.0,14.1
15,2.4,51.0,-1.0,14.0
16,2.8,53.0,-1.0,14.0
17,3.6,65.0,-1.0,13.9
18,4.1,76.0,-1.0,13.9
19,4.0,83.0,-1.0,14.0
20,3.6,76.0,-1.0,14.0
21,3.2,68.0,-1.0,14.1
22,2.9,61.0,-1.0,14.1
23,2.7,56.0,-1.0,14.1
24,2.6,53.0,-1.0,14.0
25,2.5,52.0,-1.0,14.0
26,2.5,50.0,-1.0,14.0
27,2.5,50.0,-1.0,13.9
28,2.5,49.0,-1.0,13.8
29,2.5,49.0,-1.0,13.8
30,2.5,49.0,-1.0,13.7
31,2.4,50.0,-1.0,13.7
32,2.9,54.0,-1.0,13.6
33,3.5,65.0,-1.0,13.6
34,3.1,64.0,-1.0,13.5
35,2.6,54.0,-1.0,13.5
36,2.5,51.0,-1.0,13.5
37,2.4,48.0,-1.0,13.4
38,2.2,45.0,-1.0,13.3
39,2.0,40.0,-1.0,13.3
40,1.9,38.0,-1.0,13.2
41,2.0,39.0,-1.0,13.1
42,1.9,38.0,-1.0,13.0
43,1.8,35.0,-1.0,12.9
44,1.8,35.0,-1.0,12.8
45,2.1,39.0,-1.0,12.7
46,2.1,41.0,-1.0,12.7
47,2.1,42.0,-1.0,12.6
48,2.2,42.0,-1.0,12.6
49,2.2,42.0,-1.0,12.6
50,2.2,43.0,-1.0,12.6
51,2.2,44.0,-1.0,12.5
52,2.2,44.0,-1.0,12.5
53,2.2,43.0,-1.0,12.5
54,2.0,40.0,-1.0,12.5
55,1.6,37.0,-1.0,12.4
56,1.8,36.0,-1.0,12.4
57,1.9,34.0,-1.0,12.4
58,1.6,32.0,-1.0,12.4
59,1.5,30.0,-1.0,12.3
60,1.4,28.0,-1.0,12.3
61,1.4,27.0,-1.0,12.2
62,1.3,26.0,-1.0,12.2
63,1.3,25.0,-1.0,12.0
64,1.0,24.0,-1.0,12.0
65,1.3,21.0,-1.0,11.9
66,1.1,20.0,-1.0,11.8
67,1.1,20.0,-1.0,11.8
68,1.0,20.0,-1.0,11.7
69,1.0,20.0,-1.0,11.6
70,1.1,20.0,-1.0,11.6
71,0.0,21.0,-1.0,11.5
72,0.0,23.0,-1.0,11.4
73,0.0,23.0,-1.0,11.4
74,0.0,22.0,-1.0,11.4
75,0.8,16.0,-1.0,11.3
76,0.7,14.0,-1.0,11.2
77,0.0,13.0,-1.0,11.2
78,0.0,13.0,-1.0,11.1
79,0.0,13.0,-1.0,11.1
80,0.0,13.0,-1.0,11.0
81,0.7,13.0,-1.0,11.0
82,0.7,13.0,-1.0,10.9
83,0.7,13.0,-1.0,10.9
84,0.7,12.0,-1.0,10.8
85,0.6,11.0,-1.0,10.8
86,0.6,10.0,-1.0,10.7
87,0.5,9.0,-1.0,10.7
88,0.5,9.0,-1.0,10.6
89,0.5,8.0,-1.0,10.5
90,0.4,8.0,-1.0,10.5
91,0.4,7.0,-1.0,10.4
92,0.3,6.0,-1.0,10.3
93,0.0,6.0,-1.0,10.3
94,0.3,6.0,-1.0,10.2
95,0.0,5.0,-1.0,10.1
96,0.0,5.0,-1.0,10.1
97,0.0,5.0,-1.0,10.1
98,0.0,4.0,-1.0,10.0
99,0.0,4.0,-1.0,9.9
100,0.0,3.0,-1.0,9.9
101,0.0,3.0,-1.0,9.8
102,0.0,3.0,-1.0,9.8
103,0.0,2.0,-1.0,9.7
104,0.0,2.0,-1.0,9.7
105,0.0,2.0,-1.0,9.7
106,0.0,2.0,-1.0,9.7
107,0.0,1.0,-1.0,9.6
108,0.0,1.0,-1.0,9.6
109,0.0,1.0,-1.0,9.5
110,0.0,1.0,-1.0,9.5
111,0.0,1.0,-1.0,9.5
112,0.0,0.0,-1.0,9.5
113,0.0,0.0,-1.0,9.4
114,0.0,0.0,-1.0,9.4
115,0.0,0.0,-1.0,9.4
116,0.0,0.0,-1.0,9.4
117,0.0,0.0,-1.0,9.4
118,0.0,0.0,-1.0,9.3
119,0.0,0.0,-1.0,9.3
120,0.0,0.0,-1.0,9.3
121,0.0,0.0,-1.0,9.2
122,0.0,0.0,-1.0,9.2
123,0.0,0.0,-1.0,9.2
124,0.0,0.0,-1.0,9.1
125,0.0,0.0,-1.0,9.1
126,0.0,0.0,-1.0,9.1
127,0.0,0.0,-1.0,9.1
128,0.0,0.0,-1.0,9.0
129,0.0,0.0,-1.0,9.0
130,0.0,0.0,-1.0,8.9
131,0.0,0.0,-1.0,8.9
132,0.0,0.0,-1.0,8.9
133,0.0,0.0,-1.0,8.8
134,0.0,0.0,-1.0,8.8
135,0.0,0.0,-1.0,8.8
