,dc_p,s_ir,h_ir,m_t
0,4.9,98.0,-1.0,12.2
1,4.2,81.0,-1.0,14.5
2,4.3,83.0,-1.0,14.5
3,4.5,86.0,-1.0,14.5
4,4.6,89.0,-1.0,14.5
5,4.9,94.0,-1.0,14.6
6,5.0,97.0,-1.0,14.6
7,4.8,97.0,-1.0,14.6
8,4.6,93.0,-1.0,14.6
9,4.4,87.0,-1.0,14.6
10,4.8,90.0,-1.0,14.5
11,4.6,94.0,-1.0,14.4
12,4.5,92.0,-1.0,14.4
13,4.4,88.0,-1.0,14.4
14,4.5,88.0,-1.0,14.4
15,4.8,93.0,-1.0,14.4
16,5.0,98.0,-1.0,14.5
17,4.8,97.0,-1.0,14.5
18,4.7,92.0,-1.0,14.6
19,4.7,93.0,-1.0,14.6
20,4.2,89.0,-1.0,14.7
21,4.3,86.0,-1.0,14.7
22,4.5,87.0,-1.0,14.7
23,4.2,88.0,-1.0,14.8
24,4.6,89.0,-1.0,14.8
25,5.0,94.0,-1.0,14.9
26,5.5,101.0,-1.0,14.9
27,5.3,105.0,-1.0,15.0
28,5.3,105.0,-1.0,15.1
29,5.0,102.0,-1.0,15.1
30,4.6,94.0,-1.0,15.1
31,4.4,90.0,-1.0,15.2
32,4.3,86.0,-1.0,15.2
33,4.2,85.0,-1.0,15.2
34,4.2,83.0,-1.0,15.1
35,4.2,83.0,-1.0,15.1
36,4.4,85.0,-1.0,15.1
37,4.4,87.0,-1.0,15.1
38,4.3,85.0,-1.0,15.1
39,4.1,82.0,-1.0,15.1
40,4.0,80.0,-1.0,15.1
41,4.0,79.0,-1.0,15.1
42,3.9,78.0,-1.0,15.1
43,4.4,83.0,-1.0,15.1
44,4.5,88.0,-1.0,15.1
45,4.2,89.0,-1.0,15.1
46,4.2,86.0,-1.0,15.1
47,4.2,85.0,-1.0,15.1
48,4.3,85.0,-1.0,15.1
49,4.4,87.0,-1.0,15.1
50,4.4,88.0,-1.0,15.1
51,4.1,85.0,-1.0,15.2
52,3.8,79.0,-1.0,15.2
53,3.5,72.0,-1.0,15.2
54,3.4,68.0,-1.0,15.2
55,3.4,68.0,-1.0,15.2
56,3.4,69.0,-1.0,15.1
57,3.1,65.0,-1.0,15.1
58,3.0,58.0,-1.0,15.0
59,2.5,52.0,-1.0,14.9
60,2.6,51.0,-1.0,14.8
61,2.5,55.0,-1.0,14.7
62,1.0,20.0,-1.0,11.6
63,1.1,20.0,-1.0,11.6
64,0.0,21.0,-1.0,11.5
65,0.0,23.0,-1.0,11.4
66,0.0,23.0,-1.0,11.4
67,0.0,22.0,-1.0,11.4
68,0.8,16.0,-1.0,11.3
69,0.7,14.0,-1.0,11.2
70,0.0,13.0,-1.0,11.2
71,0.0,13.0,-1.0,11.1
72,0.0,13.0,-1.0,11.1
73,0.0,13.0,-1.0,11.0
74,0.7,13.0,-1.0,11.0
75,0.7,13.0,-1.0,10.9
76,0.7,13.0,-1.0,10.9
77,0.7,12.0,-1.0,10.8
78,0.6,11.0,-1.0,10.8
79,0.6,10.0,-1.0,10.7
80,0.5,9.0,-1.0,10.7
81,0.5,9.0,-1.0,10.6
82,0.5,8.0,-1.0,10.5
83,0.4,8.0,-1.0,10.5
84,0.4,7.0,-1.0,10.4
85,0.3,6.0,-1.0,10.3
86,0.0,6.0,-1.0,10.3
87,0.3,6.0,-1.0,10.2
88,0.0,5.0,-1.0,10.1
89,0.0,5.0,-1.0,10.1
90,0.0,5.0,-1.0,10.1
91,0.0,4.0,-1.0,10.0
92,0.0,4.0,-1.0,9.9
93,0.0,3.0,-1.0,9.9
94,0.0,3.0,-1.0,9.8
95,0.0,3.0,-1.0,9.8
96,0.0,2.0,-1.0,9.7
97,0.0,2.0,-1.0,9.7
98,0.0,2.0,-1.0,9.7
99,0.0,2.0,-1.0,9.7
100,0.0,1.0,-1.0,9.6
101,0.0,1.0,-1.0,9.6
102,0.0,1.0,-1.0,9.5
103,0.0,1.0,-1.0,9.5
104,0.0,1.0,-1.0,9.5
105,0.0,0.0,-1.0,9.5
106,0.0,0.0,-1.0,9.4
107,0.0,0.0,-1.0,9.4
108,0.0,0.0,-1.0,9.4
109,0.0,0.0,-1.0,9.4
110,0.0,0.0,-1.0,9.4
111,0.0,0.0,-1.0,9.3
112,0.0,0.0,-1.0,9.3
113,0.0,0.0,-1.0,9.3
114,0.0,0.0,-1.0,9.2
115,0.0,0.0,-1.0,9.2
116,0.0,0.0,-1.0,9.2
117,0.0,0.0,-1.0,9.1
118,0.0,0.0,-1.0,9.1
119,0.0,0.0,-1.0,9.1
120,0.0,0.0,-1.0,9.1
121,0.0,0.0,-1.0,9.0
122,0.0,0.0,-1.0,9.0
123,0.0,0.0,-1.0,7.8
124,0.0,0.0,-1.0,7.9
125,0.0,0.0,-1.0,7.9
126,0.0,0.0,-1.0,7.9
127,0.0,0.0,-1.0,7.9
128,0.0,0.0,-1.0,8.0
129,0.0,0.0,-1.0,8.0
130,0.0,0.0,-1.0,8.1
131,0.0,0.0,-1.0,8.1
132,0.0,0.0,-1.0,8.1
133,0.0,0.0,-1.0,8.1
134,0.0,0.0,-1.0,8.2
135,0.0,0.0,-1.0,8.2
136,0.0,0.0,-1.0,8.3
137,0.0,0.0,-1.0,8.3
138,0.0,0.0,-1.0,8.3
139,0.0,0.0,-1.0,8.3
140,0.0,0.0,-1.0,8.3
141,0.0,0.0,-1.0,8.3
142,0.0,0.0,-1.0,8.4
143,0.0,0.0,-1.0,8.4
144,0.0,0.0,-1.0,8.4
145,0.0,0.0,-1.0,8.4
146,0.0,0.0,-1.0,8.5
147,0.0,0.0,-1.0,8.5
148,0.0,0.0,-1.0,8.5
149,0.0,0.0,-1.0,8.5
150,0.0,0.0,-1.0,8.5
151,0.0,0.0,-1.0,8.6
152,0.0,0.0,-1.0,8.6
153,0.0,0.0,-1.0,8.6
154,0.0,0.0,-1.0,8.6
155,0.0,0.0,-1.0,8.6
156,0.0,0.0,-1.0,8.6
157,0.0,0.0,-1.0,8.6
158,0.0,0.0,-1.0,8.6
159,0.0,0.0,-1.0,8.6
160,0.0,0.0,-1.0,8.6
161,0.0,0.0,-1.0,8.6
162,0.0,0.0,-1.0,8.6
163,0.0,0.0,-1.0,8.6
164,0.0,0.0,-1.0,8.6
165,0.0,0.0,-1.0,8.6
166,0.0,0.0,-1.0,8.6
167,0.0,0.0,-1.0,8.6
168,0.0,0.0,-1.0,8.6
169,0.0,0.0,-1.0,8.6
170,0.0,0.0,-1.0,8.6
171,0.0,0.0,-1.0,8.6
172,0.0,0.0,-1.0,8.6
173,0.0,0.0,-1.0,8.6
174,0.0,0.0,-1.0,8.6
175,0.0,0.0,-1.0,8.6
176,0.0,0.0,-1.0,8.6
177,0.0,0.0,-1.0,8.6
178,0.0,0.0,-1.0,8.6
179,0.0,0.0,-1.0,8.6
180,0.0,0.0,-1.0,8.6
181,0.0,0.0,-1.0,8.6
182,0.0,0.0,-1.0,8.6
183,0.0,0.0,-1.0,8.6
184,0.0,0.0,-1.0,8.2
185,0.0,0.0,-1.0,8.2
186,0.0,0.0,-1.0,8.2
187,0.0,0.0,-1.0,8.1
188,0.0,0.0,-1.0,8.1
189,0.0,0.0,-1.0,8.1
190,0.0,0.0,-1.0,8.1
191,0.0,0.0,-1.0,8.2
192,0.0,0.0,-1.0,8.2
193,0.0,0.0,-1.0,8.2
194,0.0,0.0,-1.0,8.2
195,0.0,0.0,-1.0,8.2
196,0.0,0.0,-1.0,8.2
197,0.0,0.0,-1.0,8.2
198,0.0,0.0,-1.0,8.2
199,0.0,0.0,-1.0,8.1
200,0.0,0.0,-1.0,8.1
201,0.0,0.0,-1.0,8.1
202,0.0,0.0,-1.0,8.0
203,0.0,0.0,-1.0,8.0
204,0.0,0.0,-1.0,7.9
205,0.0,0.0,-1.0,7.9
206,0.0,0.0,-1.0,7.9
207,0.0,0.0,-1.0,7.9
208,0.0,0.0,-1.0,7.9
209,0.0,0.0,-1.0,7.9
210,0.0,0.0,-1.0,7.9
211,0.0,0.0,-1.0,7.9
212,0.0,0.0,-1.0,7.9
213,0.0,0.0,-1.0,7.9
214,0.0,0.0,-1.0,7.9
215,0.0,0.0,-1.0,8.0
216,0.0,0.0,-1.0,8.0
217,0.0,0.0,-1.0,8.0
218,0.0,0.0,-1.0,8.0
219,0.0,0.0,-1.0,8.0
220,0.0,0.0,-1.0,8.1
221,0.0,0.0,-1.0,8.1
222,0.0,0.0,-1.0,8.1
223,0.0,0.0,-1.0,8.1
224,0.0,0.0,-1.0,8.1
225,0.0,0.0,-1.0,8.0
226,0.0,0.0,-1.0,8.0
227,0.0,0.0,-1.0,8.0
228,0.0,0.0,-1.0,8.0
229,0.0,0.0,-1.0,8.0
230,0.0,0.0,-1.0,8.1
231,0.0,0.0,-1.0,8.1
232,0.0,0.0,-1.0,8.1
233,0.0,0.0,-1.0,8.2
234,0.0,0.0,-1.0,8.1
235,0.0,0.0,-1.0,8.1
236,0.0,0.0,-1.0,8.1
237,0.0,0.0,-1.0,8.0
238,0.0,0.0,-1.0,8.0
239,0.0,0.0,-1.0,8.0
240,0.0,0.0,-1.0,8.0
241,0.0,0.0,-1.0,8.0
242,0.0,0.0,-1.0,8.0
243,0.0,0.0,-1.0,8.0
244,0.0,0.0,-1.0,8.0
245,0.0,0.0,-1.0,7.9
246,0.0,0.0,-1.0,7.9
247,0.0,0.0,-1.0,7.7
248,0.0,0.0,-1.0,7.7
249,0.0,0.0,-1.0,7.6
250,0.0,0.0,-1.0,7.6
251,0.0,0.0,-1.0,7.6
252,0.0,0.0,-1.0,7.5
253,0.0,0.0,-1.0,7.5
254,0.0,0.0,-1.0,7.4
255,0.0,0.0,-1.0,7.4
256,0.0,0.0,-1.0,7.4
257,0.0,0.0,-1.0,7.4
258,0.0,0.0,-1.0,7.4
259,0.0,0.0,-1.0,7.4
260,0.0,0.0,-1.0,7.4
261,0.0,0.0,-1.0,7.4
262,0.0,0.0,-1.0,7.4
263,0.0,0.0,-1.0,7.4
264,0.0,0.0,-1.0,7.4
265,0.0,0.0,-1.0,7.4
266,0.0,0.0,-1.0,7.3
267,0.0,0.0,-1.0,7.3
268,0.0,0.0,-1.0,7.3
269,0.0,0.0,-1.0,7.2
270,0.0,0.0,-1.0,7.2
271,0.0,0.0,-1.0,7.2
272,0.0,0.0,-1.0,7.2
273,0.0,0.0,-1.0,7.2
274,0.0,0.0,-1.0,7.2
275,0.0,0.0,-1.0,7.2
276,0.0,0.0,-1.0,7.2
277,0.0,0.0,-1.0,7.2
278,0.0,0.0,-1.0,7.2
279,0.0,0.0,-1.0,7.1
280,0.0,0.0,-1.0,7.1
281,0.0,0.0,-1.0,7.1
282,0.0,0.0,-1.0,7.1
283,0.0,0.0,-1.0,7.1
284,0.0,0.0,-1.0,7.1
285,0.0,0.0,-1.0,7.1
286,0.0,0.0,-1.0,7.1
287,0.0,0.0,-1.0,7.1
288,0.0,0.0,-1.0,7.1
289,0.0,0.0,-1.0,7.1
290,0.0,0.0,-1.0,7.1
291,0.0,0.0,-1.0,7.1
292,0.0,0.0,-1.0,7.2
293,0.0,0.0,-1.0,7.2
294,0.0,0.0,-1.0,7.3
295,0.0,0.0,-1.0,7.3
296,0.0,0.0,-1.0,7.3
297,0.0,0.0,-1.0,7.3
298,0.0,0.0,-1.0,7.3
299,0.0,0.0,-1.0,7.3
300,0.0,0.0,-1.0,7.3
301,0.0,0.0,-1.0,7.3
302,0.0,0.0,-1.0,7.3
303,0.0,0.0,-1.0,7.3
